state,unemploy,income,spend
Alabama,5.9,51771,9696
Alaska,7.8,77203,17726
Arizona,7.9,62027,8239
Arkansas,6.1,49020,10139
California,10.1,80423,12498
Colorado,7.3,77104,10202
Connecticut,7.9,78920,20635
Delaware,7.8,70348,15639
Florida,7.7,59198,9346
Georgia,6.5,61950,10810
Hawaii,11.6,83734,15242
Idaho,5.4,60830,7771
Illinois,9.5,69212,15741
Indiana,7.1,57617,10262
Iowa,5.3,61807,11732
Kansas,5.9,62028,11653
Kentucky,6.6,52256,11110
Louisiana,8.3,51108,11452
Maine,5.4,58824,14145
Maryland,6.8,86644,14762
Massachusetts,8.9,85700,17058
Michigan,9.9,59522,12345
Minnesota,6.2,74529,12975
Mississippi,8.1,45928,8935
Missouri,6.1,57375,10810
Montana,5.9,57248,11680
Nebraska,4.2,63290,12491
Nevada,12.8,63268,9417
New Hampshire,6.7,78571,16893
New Jersey,9.8,85786,20021
New Mexico,8.4,52021,9582
New York,10,72038,24040
North Carolina,7.3,57388,9377
North Dakota,5.1,67402,13758
Ohio,8.1,58704,13027
Oklahoma,6.1,54447,8239
Oregon,7.6,66955,11920
Pennsylvania,9.1,63455,16395
Rhode Island,9.4,70383,16121
South Carolina,6.2,56360,10856
South Dakota,4.6,60414,10073
Tennessee,7.5,56047,9544
Texas,7.6,64044,9606
Utah,4.7,75705,7628
Vermont,5.6,63293,9340
Virginia,6.2,76471,12216
Washington,8.4,78674,12995
West Virginia,8.3,48659,11334
Wisconsin,6.3,64177,12285
Wyoming,5.8,66152,16224
